Town,Year, pop_5_yrs_and_over,African_American,Asian,Latino,Americn_ Indian,Hawain,Other_race,White,County
DeerPark,2017,27653,3780,2259,2792,11,0,1287,19057,Suffolk
DeerPark,2016,27223,3745,2002,2615,0,0,1289,19537,Suffolk
DeerPark,2015,27346,3437,2026,2736,0,0,1355,19964,Suffolk
DeerPark,2014,27290,3462,2190,2044,0,0,616,20528,Suffolk
DeerPark,2013,27482,3805,2503,1813,0,0,565,20127,Suffolk
DeerPark,2012,27770,3156,1972,2332,0,0,894,21239,Suffolk
DeerPark,2011,27492,3740,1897,2198,0,0,847,20543,Suffolk
DeerPark,2010,28292,3740,1864,1923,0,0,731,21595,Suffolk
NorthAmityville,2017,19774,10993,369,5413,0,0,4362,2756,Suffolk
NorthAmityville,2016,20150,10852,538,5421,64,0,4498,3272,Suffolk
NorthAmityville,2015,19895,10744,490,5366,79,0,4049,3810,Suffolk
NorthAmityville,2014,19608,10981,387,5344,62,0,3260,4223,Suffolk
NorthAmityville,2013,19502,10571,132,5772,141,0,2747,5233,Suffolk
NorthAmityville,2012,18400,11132,115,4825,196,0,1648,4785,Suffolk
NorthAmityville,2011,18675,12071,114,4105,132,0,1349,4473,Suffolk
NorthAmityville,2010,17814,11855,80,3724,191,0,739,4492,Suffolk
NorthBabylon,2017,19774,1447,369,5413,0,0,4362,2756,Suffolk
NorthBabylon,2016,20150,1396,538,5424,64,0,4498,3272,Suffolk
NorthBabylon,2015,19895,1408,490,5366,79,,4049,3810,Suffolk
NorthBabylon,2014,19608,1230,387,5344,62,0,3260,4223,Suffolk
NorthBabylon,2013,19502,1238,132,5772,141,0,2747,5233,Suffolk
NorthBabylon,2012,18400,1132,115,4825,196,0,1648,4785,Suffolk
NorthBabylon,2011,18675,1087,114,4105,132,0,1349,4473,Suffolk
NorthBabylon,2010,17814,1071,80,3724,191,0,739,4492,Suffolk
WestBabylon,2017,43168,4779,1527,5413,61,64,2601,33139,Suffolk
WestBabylon,2016,43359,4125,1360,5424,94,67,2971,33769,Suffolk
WestBabylon,2015,42664,4464,1106,5366,45,16,2966,32840,Suffolk
WestBabylon,2014,43725,4564,1024,5344,71,15,2871,34030,Suffolk
WestBabylon,2013,43496,4722,758,5772,80,39,3064,33370,Suffolk
WestBabylon,2012,44175,5076,1064,4882,80,19,2709,34307,Suffolk
WestBabylon,2011,43754,4769,980,4105,91,21,2562,34474,Suffolk
WestBabylon,2010,44552,4631,1037,3724,72,16,2682,35604,Suffolk
WheatleyHeights,2017,5038,2561,522,544,0,0,289,1511,Suffolk
WheatleyHeights,2016,5076,2685,677,421,0,0,245,1357,Suffolk
WheatleyHeights,2015,5220,3245,349,387,0,0,274,1309,Suffolk
WheatleyHeights,2014,5211,3256,288,412,0,0,303,1330,Suffolk
WheatleyHeights,2013,5356,3368,251,438,0,0,411,1298,Suffolk
WheatleyHeights,2012,5238,3092,314,347,0,0,210,1584,Suffolk
WheatleyHeights,2011,5523,3300,230,276,0,0,99,1804,Suffolk
WheatleyHeights,2010,6195,3529,426,662,0,0,21,2117,Suffolk
Wyandanch,2017,11315,6728,60,3013,168,0,1255,2293,Suffolk
Wyandanch,2016,10722,6554,64,2609,180,0,1214,2073,Suffolk
Wyandanch,2015,11558,7453,51,2764,84,0,1130,2154,Suffolk
Wyandanch,2014,11187,7549,31,2468,65,0,1228,1689,Suffolk
Wyandanch,2013,10608,7433,35,1928,57,0,1261,1558,Suffolk
Wyandanch,2012,11047,7709,1,2040,0,0,1159,1981,Suffolk
Wyandanch,2011,11265,7642,0,2241,0,0,1079,2128,Suffolk
Wyandanch,2010,10931,7389,0,2102,0,0,1128,1968,Suffolk
